suplemento
5 Htp (Grifonia Simplicifolia)
Açafrão (Curcuma)
Acetil-L-carnitina
Ácido Alfa Lipóico (Ala)
Aminoácidos Essenciais (Mix Right )
Ashwagandha
Cálcio
Chá Verde
Chlorella
Cobre
Coenzima Q10
Cranberry
Creatina
Cromo Picolinato
Erva de São João
Ferro Quelato
Fosfatidilserina
Gaba
Gengibre
Glutamina
Goji Berry
Iodo (Lugol 2%)
L-Arginina Aspartato
Maca Peruana
Magnésio Dimalato
Magnésio Treonato
Manganês Quelato
Melatonina
Mucuna
Óleo de Linhaça
Ômega 3
Potássio
PQQ (Pirroloquinolina Quinona)
Probióticos
Própolis Verde
Selênio Quelato
Silício Orgânico
Taurina
Tribulus Terrestris
Vitamina A
Vitamina B1 (Tiamina)
Vitamina B12 (metilcobalamina)
Vitamina B2 (Riboflavina)
Vitamina B3 (Niacina)
Vitamina B6 (Piridoxol)
Vitamina B9 (metilfofalato)
Vitamina C
Vitamina D3
Vitamina E
Zinco Quelato
