Alimentos
Ovo Orgânico..
Água com Limão em Jejum
Óleo de Coco Extravirgem
Azeite de Oliva Extra Virgem
Açafrão
Gengibre
Maca Peruana
Kefir de Água
Kefir Leite de Côco
Vinagre de Maçã Orgânico
Abacate
Água Filtrada
Sal Do Himalaia
Maçã
Quinoa
Aveia
Glúten
Açúcar
Leite
Álcool
Gorduras Ruins (ex.: Margarina)
Trigo
Margarina
Óleo de Soja
Refrigerante
Gorduras trans
Super Processados
Conservantes
Salsicha
